node_id,topology,hop_count,payload_bytes,algorithm,algo_type,operation,security_level,cycles,time_us,energy_uj,energy_mj
8,star,1,100,SPHINCS192,SIG,DECAP_VERIFY,3,15000000,468750,30937,30.937
4,star,1,100,SPHINCS192,SIG,ENCAP_SIGN,3,370000000,11562500,763125,763.125
5,star,1,100,SPHINCS192,SIG,ENCAP_SIGN,3,370000000,11562500,763125,763.125
8,star,1,100,SPHINCS256,SIG,KEYGEN,5,24000000,750000,49500,49.5
4,star,1,100,SPHINCS192,SIG,DECAP_VERIFY,3,15000000,468750,30937,30.937
5,star,1,100,SPHINCS192,SIG,DECAP_VERIFY,3,15000000,468750,30937,30.937
8,star,1,100,SPHINCS256,SIG,ENCAP_SIGN,5,540000000,16875000,1113750,1113.75
4,star,1,100,SPHINCS256,SIG,KEYGEN,5,24000000,750000,49500,49.5
5,star,1,100,SPHINCS256,SIG,KEYGEN,5,24000000,750000,49500,49.5
8,star,1,100,SPHINCS256,SIG,DECAP_VERIFY,5,22000000,687500,45375,45.375
4,star,1,100,SPHINCS256,SIG,ENCAP_SIGN,5,540000000,16875000,1113750,1113.75
5,star,1,100,SPHINCS256,SIG,ENCAP_SIGN,5,540000000,16875000,1113750,1113.75
4,star,1,100,SPHINCS256,SIG,DECAP_VERIFY,5,22000000,687500,45375,45.375
5,star,1,100,SPHINCS256,SIG,DECAP_VERIFY,5,22000000,687500,45375,45.375
